CryptoID,Date,Open,High,Low,Close,Adj Close,Volume
DOGE-GBP,2018-06-19,0.002283,0.002333,0.002228,0.002303,0.002303,3386175
DOGE-GBP,2018-06-20,0.002304,0.002309,0.002237,0.002293,0.002293,2464262
DOGE-GBP,2018-06-21,0.002294,0.002301,0.002241,0.002256,0.002256,2984218
DOGE-GBP,2018-06-22,0.002252,0.002266,0.001959,0.00201,0.00201,7001145
DOGE-GBP,2018-06-23,0.002012,0.002045,0.001948,0.00199,0.00199,7488276
DOGE-GBP,2018-06-24,0.001985,0.002042,0.001756,0.001893,0.001893,7450679
DOGE-GBP,2018-06-25,0.001878,0.001945,0.001802,0.001872,0.001872,4289340
DOGE-GBP,2018-06-26,0.001884,0.00194,0.001853,0.001875,0.001875,3079030
DOGE-GBP,2018-06-27,0.001879,0.001897,0.001769,0.001858,0.001858,4394679
DOGE-GBP,2018-06-28,0.001834,0.001912,0.001784,0.001803,0.001803,2813471
DOGE-GBP,2018-06-29,0.001843,0.0019,0.001749,0.001838,0.001838,2901340
DOGE-GBP,2018-06-30,0.001843,0.001924,0.001833,0.001892,0.001892,4635400
DOGE-GBP,2018-07-01,0.001899,0.001933,0.00186,0.001885,0.001885,6386304
DOGE-GBP,2018-07-02,0.001883,0.002071,0.001844,0.002057,0.002057,4423408
DOGE-GBP,2018-07-03,0.002054,0.002105,0.001985,0.002,0.002,4278017
DOGE-GBP,2018-07-04,0.001999,0.002059,0.001956,0.002026,0.002026,3615107
DOGE-GBP,2018-07-05,0.002026,0.002038,0.00195,0.001966,0.001966,2868585
DOGE-GBP,2018-07-06,0.001974,0.001982,0.001928,0.001954,0.001954,3240775
DOGE-GBP,2018-07-07,0.001957,0.001991,0.001917,0.00199,0.00199,3164266
DOGE-GBP,2018-07-08,0.001988,0.00201,0.001936,0.001964,0.001964,3764989
DOGE-GBP,2018-07-09,0.001965,0.001984,0.001951,0.001964,0.001964,3194401
DOGE-GBP,2018-07-10,0.001967,0.001979,0.001691,0.001819,0.001819,5085614
DOGE-GBP,2018-07-11,0.001815,0.001872,0.001782,0.001836,0.001836,7412275
DOGE-GBP,2018-07-12,0.001813,0.001837,0.001699,0.00175,0.00175,3203157
DOGE-GBP,2018-07-13,0.001751,0.001789,0.001668,0.001763,0.001763,4679497
DOGE-GBP,2018-07-14,0.001741,0.001802,0.001653,0.001785,0.001785,3158971
DOGE-GBP,2018-07-15,0.001791,0.001825,0.001753,0.0018,0.0018,2925949
DOGE-GBP,2018-07-16,0.001789,0.002168,0.001789,0.002157,0.002157,11768946
DOGE-GBP,2018-07-17,0.002125,0.002487,0.002114,0.002464,0.002464,11776217
DOGE-GBP,2018-07-18,0.002459,0.003306,0.002432,0.002839,0.002839,30038464
DOGE-GBP,2018-07-19,0.002816,0.003046,0.002663,0.002952,0.002952,19468244
DOGE-GBP,2018-07-20,0.002941,0.002947,0.002509,0.002596,0.002596,13714340
DOGE-GBP,2018-07-21,0.002626,0.002688,0.002448,0.002489,0.002489,10155960
DOGE-GBP,2018-07-22,0.002542,0.002727,0.002495,0.002631,0.002631,8640292
DOGE-GBP,2018-07-23,0.002639,0.002768,0.00261,0.002618,0.002618,6390002
DOGE-GBP,2018-07-24,0.00263,0.002791,0.002588,0.002753,0.002753,8236310
DOGE-GBP,2018-07-25,0.002732,0.002784,0.002521,0.002684,0.002684,9998939
DOGE-GBP,2018-07-26,0.002675,0.002762,0.00256,0.002589,0.002589,5276913
DOGE-GBP,2018-07-27,0.002585,0.00264,0.002502,0.002607,0.002607,3883088
DOGE-GBP,2018-07-28,0.0026,0.002647,0.002585,0.002594,0.002594,2548997
DOGE-GBP,2018-07-29,0.002604,0.002652,0.002507,0.002523,0.002523,4493158
DOGE-GBP,2018-07-30,0.002527,0.002551,0.002307,0.002492,0.002492,10455459
DOGE-GBP,2018-07-31,0.002531,0.002531,0.002177,0.002245,0.002245,10865681
DOGE-GBP,2018-08-01,0.002301,0.002407,0.002156,0.002407,0.002407,11299680
DOGE-GBP,2018-08-02,0.002347,0.002411,0.002245,0.002264,0.002264,5334440
DOGE-GBP,2018-08-03,0.002274,0.002283,0.002186,0.002244,0.002244,7340984
DOGE-GBP,2018-08-04,0.002227,0.00228,0.002104,0.002111,0.002111,6136186
DOGE-GBP,2018-08-05,0.00214,0.002242,0.002102,0.002182,0.002182,8757077
DOGE-GBP,2018-08-06,0.002209,0.002239,0.002117,0.002148,0.002148,4380396
DOGE-GBP,2018-08-07,0.002144,0.002181,0.002056,0.002064,0.002064,4423300
DOGE-GBP,2018-08-08,0.002062,0.002062,0.00186,0.001875,0.001875,3789251
DOGE-GBP,2018-08-09,0.00187,0.002023,0.001849,0.001992,0.001992,5749267
DOGE-GBP,2018-08-10,0.001992,0.002049,0.001853,0.001874,0.001874,3676110
DOGE-GBP,2018-08-11,0.001865,0.001927,0.001837,0.001883,0.001883,3982024
DOGE-GBP,2018-08-12,0.001876,0.001912,0.001849,0.001884,0.001884,2691597
DOGE-GBP,2018-08-13,0.001887,0.001923,0.001791,0.001828,0.001828,3904594
DOGE-GBP,2018-08-14,0.001819,0.001822,0.001678,0.001778,0.001778,5908297
DOGE-GBP,2018-08-15,0.001774,0.0019,0.001768,0.001815,0.001815,4238131
DOGE-GBP,2018-08-16,0.001811,0.001864,0.00175,0.001803,0.001803,4610834
DOGE-GBP,2018-08-17,0.001822,0.001943,0.001798,0.001925,0.001925,4104085
DOGE-GBP,2018-08-18,0.001942,0.001959,0.001856,0.001877,0.001877,5284200
DOGE-GBP,2018-08-19,0.001892,0.001941,0.001855,0.001941,0.001941,2091095
DOGE-GBP,2018-08-20,0.001934,0.001951,0.001844,0.00185,0.00185,1893252
DOGE-GBP,2018-08-21,0.001847,0.001883,0.001841,0.001879,0.001879,1653754
DOGE-GBP,2018-08-22,0.001877,0.001951,0.001792,0.001794,0.001794,4620879
